Time,Attention,Meditation,BlinkCount,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,HighGamma
14:30:04.255,53,40,0,32515,16329,9119,4587,17673,19086,2163,4523
14:30:06.251,47,51,0,979761,655732,133885,229235,138512,47122,156350,89685
14:30:07.256,50,51,0,529322,445056,90286,65313,106752,103314,83181,57549
14:30:08.257,43,53,0,30190,52929,2899,25265,12265,19124,31137,16629
14:30:11.259,50,43,0,175542,94306,5603,10697,14864,24952,15314,18199
14:30:12.261,51,50,0,1283845,431098,344949,623071,491515,85725,284587,166569
14:30:15.254,44,63,0,951063,611033,133321,147660,196048,239060,131084,141879
14:30:16.247,50,43,0,1488545,725739,87474,55109,184271,103120,117564,175460
14:30:17.250,48,53,0,965081,87854,32616,50491,21218,19422,36359,27978
14:30:18.255,50,48,0,774898,334990,63787,77878,38585,53168,68568,25600
14:30:19.252,41,57,0,2170739,547439,384564,465562,334720,112189,147121,66178
14:30:21.252,38,56,0,855086,293418,11918,27105,36421,21967,40104,35917
14:30:22.253,43,57,0,1072525,58859,7768,29872,10482,22969,10827,14838
14:30:23.252,56,41,0,189330,15010,752,3038,1971,9644,1653,1917
